,idPhoronix,nb_models,ls_architecture,ls_cpuop-mode,ls_cpu,ls_threadpercore,ls_corepersocket,ls_socket,ls_numanode,ls_vendorid,ls_cpufamily,ls_model,ls_modelname,ls_stepping,ls_cpumhz,ls_cpumaxmhz,ls_cpuminmhz,ls_bogomips,ls_l1dcache,ls_l1icache,ls_l2cache,ls_l3cache,cp_vendor_id,cp_cpufamily,cp_model,cp_modelname,cp_stepping,cp_cpumhz,cp_cachesize,cp_physicalid,cp_siblings,cp_cpucores,cp_apicid,cp_cpuidlevel,cp_bogomips,cp_clflushsize,cp_cache_alignment,cp_addresssizes,price_dollar,cp_modelname.1,ls_range,ls_modelname.1,id,Model name,Process,TDP,Release Year
1.0,AMDA10-4600MAPU,1,x86_64,32.64,4.0,2.0,2.0,1.0,,AuthenticAMD,21.0,16.0,,1.0,1400.0,1400.0,1400.0,4591.29,16.0,64.0,2048.0,,AuthenticAMD,21.0,16.0,AMDA10-4600MAPUwithRadeon(tm)HDGraphics,1.0,1400.0,2048.0,0.0,4.0,2.0,16.0,13.0,4591.29,64.0,64.0,48.48,99.0,AMD A10-4600MAPUwithRadeonHDGraphics,AMD A,,AMD A10-4600MAPU,AMD A10-4600M,32.0,35.0,2012.0
8.0,AMDA10-5800KAPU,1,x86_64,32.64,4.0,2.0,2.0,1.0,1.0,AuthenticAMD,21.0,16.0,,1.0,3800.0,3800.0,3800.0,7583.79,16.0,64.0,2048.0,,AuthenticAMD,21.0,16.0,AMDA10-5800KAPUwithRadeon(tm)HDGraphics,1.0,1400.0,2048.0,0.0,4.0,2.0,16.0,13.0,7583.79,64.0,64.0,48.48,46.0,AMD A10-5800KAPUwithRadeonHDGraphics,AMD A,,AMD A10-5800KAPU,AMD A10-5800K,32.0,100.0,2012.0
9.0,AMDA10-6700APU,1,x86_64,32.64,4.0,2.0,2.0,1.0,1.0,AuthenticAMD,21.0,19.0,AMDA10-6700APUwithRadeon(tm)HDGraphics,1.0,1800.0,3700.0,1800.0,7386.38,16.0,64.0,2048.0,,AuthenticAMD,21.0,19.0,AMDA10-6700APUwithRadeon(tm)HDGraphics,1.0,1800.0,2048.0,0.0,4.0,2.0,16.0,13.0,7386.38,64.0,64.0,48.48,57.0,AMD A10-6700APUwithRadeonHDGraphics,AMD A,AMD A10-6700APUwithRadeonHDGraphics,AMD A10-6700APU,AMD A10-6700,32.0,65.0,2013.0
10.0,AMDA10Micro-6700TAPU,1,x86_64,32.64,4.0,1.0,4.0,1.0,1.0,AuthenticAMD,22.0,48.0,AMDA10Micro-6700TAPU+AMDRadeonR6Graphics,1.0,1197.71,1200.0,1000.0,2395.42,32.0,32.0,2048.0,,AuthenticAMD,22.0,48.0,AMDA10Micro-6700TAPU+AMDRadeonR6Graphics,1.0,1197.71,2048.0,0.0,4.0,4.0,0.0,13.0,2395.42,64.0,64.0,40.48,50.0,AMD A10Micro-6700TAPU+AMD RadeonR6Graphics,AMD A,AMD A10Micro-6700TAPU+AMD RadeonR6Graphics,AMD A10Micro-6700TAPU,AMD A10-6700T,32.0,45.0,2013.0
13.0,AMDA10-7700KAPUwithRadeonR7,1,x86_64,32.64,4.0,2.0,2.0,1.0,1.0,AuthenticAMD,21.0,48.0,,1.0,2800.0,2800.0,2800.0,7984.82,16.0,96.0,2048.0,,AuthenticAMD,21.0,48.0,AMDA10-7700KAPUwithRadeon(TM)R7Graphics,1.0,2000.0,2048.0,0.0,4.0,2.0,16.0,13.0,7984.82,64.0,64.0,48.48,62.0,AMD A10-7700KAPUwithRadeonR7Graphics,AMD A,,AMD A10-7700KAPUwithRadeonR7,AMD A10-7700K,28.0,95.0,2014.0
14.0,AMDA10-7850KAPU,1,x86_64,32.64,4.0,2.0,2.0,1.0,1.0,AuthenticAMD,21.0,48.0,AMDA10-7850KAPUwithRadeon(TM)R7Graphics,1.0,1696.467,3700.0,1700.0,7386.63,32.0,192.0,4000.0,,AuthenticAMD,21.0,48.0,AMDA10-7850KAPUwithRadeon(TM)R7Graphics,1.0,1848.1960000000001,2048.0,0.0,4.0,2.0,16.0,13.0,7386.63,64.0,64.0,48.48,70.0,AMD A10-7850KAPUwithRadeonR7Graphics,AMD A,AMD A10-7850KAPUwithRadeonR7Graphics,AMD A10-7850KAPU,AMD A10-7850K,28.0,95.0,2014.0
14.0,AMDA10-7850KAPUwithRadeonR7,1,x86_64,32.64,4.0,2.0,2.0,1.0,1.0,AuthenticAMD,21.0,48.0,,1.0,1700.0,1700.0,1700.0,7386.81,16.0,96.0,2048.0,,AuthenticAMD,21.0,48.0,AMDA10-7850KAPUwithRadeon(TM)R7Graphics,1.0,3700.0,2048.0,0.0,4.0,2.0,16.0,13.0,7386.81,64.0,64.0,48.48,70.0,AMD A10-7850KAPUwithRadeonR7Graphics,AMD A,,AMD A10-7850KAPUwithRadeonR7,AMD A10-7850K,28.0,95.0,2014.0
14.0,AMDA10-7850KRadeonR712ComputeCores4C,1,x86_64,32.64,4.0,2.0,2.0,1.0,,AuthenticAMD,21.0,48.0,AMDA10-7850KRadeonR7.12ComputeCores4C+8G,1.0,4092.4790000000003,4092.48,4092.4809999999998,8188.99,16.0,96.0,2048.0,,AuthenticAMD,21.0,48.0,AMDA10-7850KRadeonR7.12ComputeCores4C+8G,1.0,4092.4790000000003,2048.0,0.0,4.0,2.0,16.0,13.0,8188.99,64.0,64.0,48.48,71.0,AMD A10-7850KRadeonR7.12ComputeCores4C+8G,AMD A,AMD A10-7850KRadeonR7.12ComputeCores4C+8G,AMD A10-7850KRadeonR712ComputeCores4C,AMD A10-7850K,28.0,95.0,2014.0
15.0,AMDA10-7870KRadeonR712ComputeCores4C,1,x86_64,32.64,4.0,2.0,2.0,1.0,1.0,AuthenticAMD,21.0,56.0,AMDA10-7870KRadeonR7.12ComputeCores4C+8G,1.0,1700.0,3900.0,1700.0,7800.66,16.0,96.0,2048.0,,AuthenticAMD,21.0,56.0,AMDA10-7870KRadeonR7.12ComputeCores4C+8G,1.0,3900.0,2048.0,0.0,4.0,2.0,16.0,13.0,7800.66,64.0,64.0,48.48,110.0,AMD A10-7870KRadeonR7.12ComputeCores4C+8G,AMD A,AMD A10-7870KRadeonR7.12ComputeCores4C+8G,AMD A10-7870KRadeonR712ComputeCores4C,AMD A10-7870K,28.0,95.0,2015.0
35.0,AMDA4-5000APU,1,x86_64,32.64,4.0,1.0,4.0,1.0,1.0,AuthenticAMD,22.0,0.0,AMDA4-5000APUwithRadeon(TM)HDGraphics,1.0,800.0,1500.0,800.0,2994.4,32.0,32.0,2048.0,,AuthenticAMD,22.0,0.0,AMDA4-5000APUwithRadeon(TM)HDGraphics,1.0,800.0,2048.0,0.0,4.0,4.0,0.0,13.0,2994.37,64.0,64.0,40.48,43.0,AMD A4-5000APUwithRadeonHDGraphics,AMD A,AMD A4-5000APUwithRadeonHDGraphics,AMD A4-5000APU,AMD A4-5000,32.0,15.0,2013.0
