,name,description,type,url
2,AI Benchmark Alpha,AI Benchmark Alpha is a Python library for evaluating artificial intelligence (AI) performance on diverse hardware platforms and relies upon the TensorFlow machine learning library.,System,https://openbenchmarking.org/test/pts/ai-benchmark
3,Aircrack-ng,Aircrack-ng is a tool for assessing WiFi/WLAN network security.,Processor,https://openbenchmarking.org/test/pts/aircrack-ng
4,Algebraic Multi-Grid Benchmark,AMG is a parallel algebraic multigrid solver for linear systems arising from problems on unstructured grids,Processor,https://openbenchmarking.org/test/pts/amg
5,AOBench,AOBench is a lightweight ambient occlusion renderer written in C,Processor,https://openbenchmarking.org/test/pts/aobench
6,AOM AV1,This is a test of the AOMedia AV1 encoder (libaom) run on the CPU with a sample 1080p video file.,Processor,https://openbenchmarking.org/test/pts/aom-av1
7,Apache HTTP Server,This is a test of the Apache HTTPD web server,System,https://openbenchmarking.org/test/pts/apache
8,Apache Benchmark,This is a test of ab which is the Apache benchmark program using the system's supplied Apache web server.,,https://openbenchmarking.org/test/system/apache
9,Apache Siege,This is a test of the Apache web server performance being facilitated by the Siege web serverb enchmark program.,System,https://openbenchmarking.org/test/pts/apache-siege
10,Appleseed,Appleseed is an open-source production renderer focused on physically-based global illumination rendering engine primarily designed for animation and visual effects.,System,https://openbenchmarking.org/test/pts/appleseed
11,AppTimer,AppTimer allows timing the automated start-up of various programs running on Microsoft Windows.,System,https://openbenchmarking.org/test/windows/apptimer
12,ArrayFire,ArrayFire is an GPU and CPU numeric processing library this test uses the built-in CPU and OpenCL ArrayFire benchmarks.,Processor,https://openbenchmarking.org/test/pts/arrayfire
13,Ashes of the Singulairty: Escalation,This is a benchmark of Ashes of the Singulairty: Escalation running under Steam Play (Proton) on Linux,Graphics,https://openbenchmarking.org/test/pts/ashes-escalation
14,ASKAP tConvolveCuda,This is a CUDA benchmark of ATNF's ASKAP Benchmark with currently using the tConvolveCuda sub-test.,Graphics,https://openbenchmarking.org/test/pts/askap
15,asmFish,This is a test of asmFish an advanced chess benchmark written in Assembly.,Processor,https://openbenchmarking.org/test/pts/asmfish
16,ASTC Encoder,ASTC Encoder (astcenc) is for the Adaptive Scalable Texture Compression (ASTC) format commonly used with OpenGL OpenGL ES and Vulkan graphics APIs,System,https://openbenchmarking.org/test/pts/astcenc
17,libavif avifenc,This is a test of the AOMedia libavif library testing the encoding of a JPEG image to AV1 Image Format (AVIF).,Processor,https://openbenchmarking.org/test/pts/avifenc
18,Basemark GPU,This is a benchmark of Basemark GPU,System,https://openbenchmarking.org/test/pts/basemark
19,Basis Universal,Basis Universal is a GPU texture codoec,System,https://openbenchmarking.org/test/pts/basis
20,Batman: Arkham Knight,This is a benchmark of >Batman: Arkham Knight running under Steam Play (Proton) on Linux,Graphics,https://openbenchmarking.org/test/pts/batman-knight
21,Batman: Arkham Origins,This is a benchmark of >Batman: Arkham Origins running under Steam Play (Proton) on Linux,Graphics,https://openbenchmarking.org/test/pts/batman-origins
22,Betsy GPU Compressor,Betsy is an open-source GPU compressor of various GPU compression techniques,Graphics,https://openbenchmarking.org/test/pts/betsy
23,BioShock Infinite,A Steam-based test of the BioShock Infinite game.,Graphics,https://openbenchmarking.org/test/pts/bioshock-infinite
24,BLAKE2,This is a benchmark of BLAKE2 using the blake2s binary,Processor,https://openbenchmarking.org/test/pts/blake2
25,Blender,Blender is an open-source 3D creation software project,System,https://openbenchmarking.org/test/pts/blender
26,Blender,Blender is an open-source 3D creation software project,System,https://openbenchmarking.org/test/system/blender
27,BlogBench,BlogBench is designed to replicate the load of a real-world busy file server by stressing the file-system with multiple threads of random reads writes and rewrites,Disk,https://openbenchmarking.org/test/pts/blogbench
28,BlogBench,BlogBench is designed to replicate the load of a real-world busy file server by stressing the file-system with multiple threads of random reads writes and rewrites,Disk,https://openbenchmarking.org/test/system/blogbench
29,C-Blosc,A simple compressed fast and persistent data store library for C.,Processor,https://openbenchmarking.org/test/pts/blosc
30,Bork File Encrypter,Bork is a small cross-platform file encryption utility,Processor,https://openbenchmarking.org/test/pts/bork
31,Botan,Botan is a cross-platform open-source C++ crypto library that supports most all publicly known cryptographic algorithms.,Processor,https://openbenchmarking.org/test/pts/botan
32,BRL-CAD,BRL-CAD is a cross-platform open-source solid modeling system with built-in benchmark mode.,System,https://openbenchmarking.org/test/pts/brl-cad
33,Timed Apache Compilation,This test times how long it takes to build the Apache HTTPD web server.,Processor,https://openbenchmarking.org/test/pts/build-apache
34,Timed Clash Compilation,Build the clash-lang Haskell to VHDL/Verilog/SystemVerilog compiler with GHC 8.10.1,Processor,https://openbenchmarking.org/test/pts/build-clash
35,Timed Eigen Compilation,This test times how long it takes to build all Eigen examples,Processor,https://openbenchmarking.org/test/pts/build-eigen
36,Timed Erlang/OTP Compilation,This test times how long it takes to compile Erlang/OTP,Processor,https://openbenchmarking.org/test/pts/build-erlang
37,Timed FFmpeg Compilation,This test times how long it takes to build the FFmpeg multimedia library.,Processor,https://openbenchmarking.org/test/pts/build-ffmpeg
38,Timed GCC Compilation,This test times how long it takes to build the GNU Compiler Collection (GCC).,Processor,https://openbenchmarking.org/test/pts/build-gcc
39,Timed GDB GNU Debugger Compilation,This test times how long it takes to build the GNU Debugger (GDB) in a default configuration.,Processor,https://openbenchmarking.org/test/pts/build-gdb
40,Timed Godot Game Engine Compilation,This test times how long it takes to compile the Godot Game Engine,Processor,https://openbenchmarking.org/test/pts/build-godot
41,Timed ImageMagick Compilation,This test times how long it takes to build ImageMagick.,Processor,https://openbenchmarking.org/test/pts/build-imagemagick
42,Timed Linux Kernel Compilation,This test times how long it takes to build the Linux kernel.,Processor,https://openbenchmarking.org/test/pts/build-linux-kernel
43,Timed LLVM Compilation,This test times how long it takes to build the LLVM compiler.,Processor,https://openbenchmarking.org/test/pts/build-llvm
