uarch,chip type,launch_year,processor number,idPhoronix,idSPEC,idGeekBench,cache,type_cache,bus_speed,bus_type,instruction set extensions,instruction set,max memory size,memory types,# of memory channels,max memory bandwidth,ecc memory supported,processor graphics,graphics base frequency,graphics max dynamic frequency,graphics video max memory,# of d isplays supported,graphics and imc lithography,pci express revision,pci express lanes,lithography,# of cores,# of threads,base frequency,turbo frequency,tdp-up frequency,tdp-up,tdp-down frequency,t dp-down,tdp (W),turbo boost technology,vpro,hyper-threading,(vt-x),(vt-d),tsx-ni,idle states,speedstep,thermal mo nitoring,identity protection,aes new instructions,secure key,trusted execution,execute disable bit,anti-theft,price
merom,desktop,2007,220,,,,0.512,L2,0.533,FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1,1,1.2,0,0,0,0,0,19,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
bonnell,desktop,2008,230,,,,0.512,L2,0.533,FSB,"SSE2, SSE3, SSSE3",64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,45,1,2,1.6,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,29
bonnell,desktop,2008,330,,,,1,L2,0.533,FSB,"SSE2, SSE3, SSSE3",64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,45,2,4,1.6,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
merom,desktop,2007,420,,,,0.512,L2,0.8,FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1,1,1.6,0,0,0,0,0,35,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
merom,desktop,2007,430,,,,0.512,L2,0.8,FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1,1,1.8,0,0,0,0,0,35,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,37
merom,desktop,2006,440,,Intel Celeron 440,,0.512,L2,0.8,FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1,1,2,0,0,0,0,0,35,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,36
merom,embedded,2006,440,,,,0.512,L2,0.8,FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1,1,2,0,0,0,0,0,35,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,36
merom,desktop,2008,450,,,,0.512,L2,0.8,FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1,1,2.2,0,0,0,0,0,35,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
merom,mobile,2007,520,,,,1, L2,0.533,FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1,1,1.6,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
merom,mobile,2007,523,,,,1, L2,0.533,FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1,1,0.93,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
merom,mobile,2006,530,,,,1, L2,0.533,FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1,1,1.73 ,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
merom,mobile,2007,530,,,,1, L2,0.533,FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1,1,1.73 ,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
merom,embedded,2006,530,,,,1, L2,0.533,FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1,1,1.73 ,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
merom,mobile,2007,540,,,,1, L2,0.533,FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1,1,1.86 ,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
