id,Model name,Name,Producer,,Codename,cores,min_cores,max_cores,core,raw_clock,mid_clock_inter,val_mid,unit_mid,min_clock,max_clock_inter,max_clock,unit_clock_to,mid_final,unit_final,clock,Socket,Process (nm),L3 Cache,TDP (W),Released,rel_date,rel_year
1,AMD A10-4600M,A10-4600M,AMD,,Trinity,4,,,4,"2,3 to 3,2 GHz",,,,"2,3"," 3,2 GHz","3,20",GHz,"2,75",GHz,"2,75",Socket FS1r2,32,N/A,35,"May 15th, 2012",May 15th,2012
2,AMD A10-4655M,A10-4655M,AMD,,Trinity,4,,,4,"2 to 2,8 GHz",,,,2," 2,8 GHz","2,80",GHz,"2,4",GHz,"2,4",Socket FP2,32,N/A,25,"May 15th, 2012",May 15th,2012
3,AMD A10-5700,A10-5700,AMD,,Trinity,4,,,4,"3,4 to 4 GHz",,,,"3,4", 4 GHz,"4,00",GHz,"3,7",GHz,"3,7",Socket FM2,32,N/A,65,"Oct 2nd, 2012",Oct 2nd,2012
4,AMD A10-5745M,A10-5745M,AMD,,Richland,4,,,4,"2,1 to 2,9 GHz",,,,"2,1"," 2,9 GHz","2,90",GHz,"2,5",GHz,"2,5",Socket FP2,32,N/A,25,"Jun 1st, 2013",Jun 1st,2013
5,AMD A10-5750M,A10-5750M,AMD,,Richland,4,,,4,"2,5 to 3,5 GHz",,,,"2,5"," 3,5 GHz","3,50",GHz,3,GHz,3,Socket FS1r2,32,N/A,35,"Jun 1st, 2013",Jun 1st,2013
6,AMD A10-5757M,A10-5757M,AMD,,Richland,4,,,4,"2,5 to 3,5 GHz",,,,"2,5"," 3,5 GHz","3,50",GHz,3,GHz,3,Socket FP2,32,N/A,35,"Jun 1st, 2013",Jun 1st,2013
7,AMD A10-5800B,A10-5800B,AMD,,Trinity,4,,,4,"3,8 to 4,2 GHz",,,,"3,8"," 4,2 GHz","4,20",GHz,4,GHz,4,Socket FM2,32,N/A,100,"Oct 2nd, 2012",Oct 2nd,2012
8,AMD A10-5800K,A10-5800K,AMD,,Trinity,4,,,4,"3,8 to 4,2 GHz",,,,"3,8"," 4,2 GHz","4,20",GHz,4,GHz,4,Socket FM2,32,N/A,100,"Oct 2nd, 2012",Oct 2nd,2012
9,AMD A10-6700,A10-6700,AMD,,Richland,4,,,4,"3,7 to 4,3 GHz",,,,"3,7"," 4,3 GHz","4,30",GHz,4,GHz,4,Socket FM2,32,N/A,65,"Jun 1st, 2013",Jun 1st,2013
10,AMD A10-6700T,A10-6700T,AMD,,Richland,4,,,4,"2,5 to 3,5 GHz",,,,"2,5"," 3,5 GHz","3,50",GHz,3,GHz,3,Socket FM2,32,N/A,45,"Sep 16th, 2013",Sep 16th,2013
11,AMD A10-6790K,A10-6790K,AMD,,Richland,4,,,4,"4 to 4,3 GHz",,,,4," 4,3 GHz","4,30",GHz,"4,15",GHz,"4,15",Socket FM2,32,N/A,100,"Oct 28th, 2013",Oct 28th,2013
12,AMD A10-6800K,A10-6800K,AMD,,Richland,4,,,4,"4,1 to 4,4 GHz",,,,"4,1"," 4,4 GHz","4,40",GHz,"4,25",GHz,"4,25",Socket FM2,32,N/A,100,"Jun 1st, 2013",Jun 1st,2013
13,AMD A10-7700K,A10-7700K,AMD,,Godaveri,4,,,4,"3,5 to 3,8 GHz",,,,"3,5"," 3,8 GHz","3,80",GHz,"3,65",GHz,"3,65",Socket FM2+,28,N/A,95,"Jan 14th, 2014",Jan 14th,2014
14,AMD A10-7850K,A10-7850K,AMD,,Godaveri,4,,,4,"3,7 to 4 GHz",,,,"3,7", 4 GHz,"4,00",GHz,"3,85",GHz,"3,85",Socket FM2+,28,N/A,95,"Jan 14th, 2014",Jan 14th,2014
15,AMD A10-7870K,A10-7870K,AMD,,Godaveri,4,,,4,"3,9 to 4,1 GHz",,,,"3,9"," 4,1 GHz","4,10",GHz,4,GHz,4,Socket FM2+,28,N/A,95,"May 28th, 2015",May 28th,2015
16,AMD A10-7890K,A10-7890K,AMD,,Godaveri,4,,,4,"4 to 4,3 GHz",,,,4," 4,3 GHz","4,30",GHz,"4,15",GHz,"4,15",Socket FM2+,28,N/A,95,"Jan 11th, 2016",Jan 11th,2016
17,AMD A10-9700,A10-9700,AMD,,Bristol Ridge,4,,,4,"3,5 to 3,8 GHz",,,,"3,5"," 3,8 GHz","3,80",GHz,"3,65",GHz,"3,65",Socket AM4,28,N/A,65,"Jul 27th, 2017",Jul 27th,2017
18,AMD A10-9700E,A10-9700E,AMD,,Bristol Ridge,4,,,4,"3 to 3,5 GHz",,,,3," 3,5 GHz","3,50",GHz,"3,25",GHz,"3,25",Socket AM4,28,N/A,35,"Jul 27th, 2017",Jul 27th,2017
19,AMD A12-9800,A12-9800,AMD,,Bristol Ridge,4,,,4,"3,8 to 4,2 GHz",,,,"3,8"," 4,2 GHz","4,20",GHz,4,GHz,4,Socket AM4,28,N/A,65,"Jul 27th, 2017",Jul 27th,2017
20,AMD A12-9800E,A12-9800E,AMD,,Bristol Ridge,4,,,4,"3,1 to 3,8 GHz",,,,"3,1"," 3,8 GHz","3,80",GHz,"3,45",GHz,"3,45",Socket AM4,28,N/A,35,"Jul 27th, 2017",Jul 27th,2017
21,AMD A4-1200,A4-1200,AMD,,Temash,2,,,2,1000 MHz,1000 MHz,1000,MHz,,,,,1000,MHz,1,Socket FT3,32,N/A,4,"May 23rd, 2013",May 23rd,2013
22,AMD A4-1250,A4-1250,AMD,,Temash,2,,,2,1000 MHz,1000 MHz,1000,MHz,,,,,1000,MHz,1,Socket FT3,32,N/A,8,"May 23rd, 2013",May 23rd,2013
23,AMD A4-1350,A4-1350,AMD,,Kabini,4,,,4,1000 MHz,1000 MHz,1000,MHz,,,,,1000,MHz,1,Socket FT3,32,N/A,8,"Oct 18th, 2013",Oct 18th,2013
