,0,1
0,2xamdepyc72528-core,0
1,2xamdepyc72628-core,0
2,2xamdepyc727212-core,0
3,2xamdepyc728216-core,0
4,2xamdepyc730116-core,0
5,2xamdepyc730216-core,0
6,2xamdepyc731316-core,0
7,2xamdepyc734316-core,0
8,2xamdepyc735116-core,0
9,2xamdepyc735224-core,0
10,2xamdepyc737116-core,0
11,2xamdepyc73f316-core,0
12,2xamdepyc740124-core,0
13,2xamdepyc740224-core,0
14,2xamdepyc744324-core,0
15,2xamdepyc745124-core,0
16,2xamdepyc745232-core,0
17,2xamdepyc745328-core,0
18,2xamdepyc74f324-core,0
19,2xamdepyc750132-core,0
20,2xamdepyc750232-core,0
21,2xamdepyc751332-core,0
22,2xamdepyc753232-core,0
23,2xamdepyc754232-core,0
24,2xamdepyc754332-core,0
25,2xamdepyc755132-core,0
26,2xamdepyc755248-core,0
27,2xamdepyc75f332-core,0
28,2xamdepyc760132-core,0
29,2xamdepyc764248-core,0
30,2xamdepyc764348-core,0
31,2xamdepyc766356-core,0
32,2xamdepyc770264-core,0
33,2xamdepyc771364-core,0
34,2xamdepyc774264-core,0
35,2xamdepyc776364-core,0
36,2xamdepyc7f328-core,0
37,2xamdepyc7f5216-core,0
38,2xamdepyc7f7224-core,0
39,2xamdepyc7v1264-core,0
40,2xamdopteron23xx,0
41,2xamdopteron248,0
42,2xamdopteron270,0
43,2xamdopteron4170he,0
44,2xamdopteron6172,0
45,2xamdopteron6174,0
46,2xamdopteron6180se,0
47,2xamdopteron6238,0
48,2xamdopteron6272,0
49,2xamdopteron6282se,0
50,2xamdopteron6320,0
51,2xamdopteron6380,0
52,2xamdopteron6386se,0
53,2xintel%240000%25,0
54,2xintel0000,0
55,2xintel0000%25,0
56,2xintelxeon2.60ghz,0
57,2xintelxeon2.80ghz,0
58,2xintelxeon5140,0
59,2xintelxeon5150,0
60,2xintelxeon5160,0
61,2xintelxeone312xx,0
62,2xintelxeone5-2403v2,0
63,2xintelxeone5-24070,0
64,2xintelxeone5-24200,0
65,2xintelxeone5-2420v2,0
66,2xintelxeone5-24300,0
67,2xintelxeone5-2450l0,0
68,2xintelxeone5-24700,0
69,2xintelxeone5-2603v2,0
70,2xintelxeone5-26090,0
71,2xintelxeone5-26200,0
72,2xintelxeone5-2620v2,0
73,2xintelxeone5-2620v3,0
74,2xintelxeone5-2620v4,0
75,2xintelxeone5-26300,0
76,2xintelxeone5-2630v2,0
77,2xintelxeone5-2630v3,0
78,2xintelxeone5-2630v4,0
79,2xintelxeone5-2637v2,0
80,2xintelxeone5-2637v3,0
81,2xintelxeone5-2637v4,0
82,2xintelxeone5-26400,0
83,2xintelxeone5-2640v3,0
84,2xintelxeone5-2640v4,0
85,2xintelxeone5-26430,0
86,2xintelxeone5-2643v3,0
87,2xintelxeone5-26500,0
88,2xintelxeone5-2650l0,0
89,2xintelxeone5-2650lv3,0
90,2xintelxeone5-2650v2,0
91,2xintelxeone5-2650v3,0
92,2xintelxeone5-2650v4,0
93,2xintelxeone5-2658v2,0
94,2xintelxeone5-26600,0
95,2xintelxeone5-2660v2,0
96,2xintelxeone5-2660v3,0
97,2xintelxeone5-2660v4,0
98,2xintelxeone5-26650,0
99,2xintelxeone5-26670,0
100,2xintelxeone5-2667v3,0
101,2xintelxeone5-2667v4,0
102,2xintelxeone5-2669v3,0
103,2xintelxeone5-26700,0
104,2xintelxeone5-2678v3,0
105,2xintelxeone5-26800,0
106,2xintelxeone5-2680v2,0
107,2xintelxeone5-2680v3,0
108,2xintelxeone5-2680v4,0
109,2xintelxeone5-2682v4,0
110,2xintelxeone5-2683v3,0
111,2xintelxeone5-2683v4,0
112,2xintelxeone5-2687w0,0
113,2xintelxeone5-26900,0
114,2xintelxeone5-2690v2,0
115,2xintelxeone5-2690v3,0
116,2xintelxeone5-2690v4,0
117,2xintelxeone5-2695v3,0
118,2xintelxeone5-2696v3,0
119,2xintelxeone5-2697v2,0
120,2xintelxeone5-2697v3,0
121,2xintelxeone5-2697v4,0
122,2xintelxeone5-2698v3,0
123,2xintelxeone5-2699v3,0
124,2xintelxeone5-2699v4,0
125,2xintelxeone5-26xxv3,0
126,2xintelxeone5310,0
127,2xintelxeone5405,0
128,2xintelxeone5410,0
129,2xintelxeone5420,0
130,2xintelxeone5430,0
131,2xintelxeone5440,0
132,2xintelxeone5462,0
133,2xintelxeone5504,0
134,2xintelxeone5506,0
135,2xintelxeone5520,0
136,2xintelxeone5530,0
137,2xintelxeone5540,0
138,2xintelxeone5606,0
139,2xintelxeone5620,0
140,2xintelxeone5630,0
141,2xintelxeone5640,0
142,2xintelxeone5645,0
143,2xintelxeone5649,0
144,2xintelxeongold5115,0
145,2xintelxeongold5118,0
146,2xintelxeongold5120,0
147,2xintelxeongold5218,0
148,2xintelxeongold5220r,0
149,2xintelxeongold6130,0
150,2xintelxeongold6138,0
151,2xintelxeongold6140,0
152,2xintelxeongold6142,0
153,2xintelxeongold6144,0
154,2xintelxeongold6148,0
155,2xintelxeongold6152,0
156,2xintelxeongold6154,0
157,2xintelxeongold6230,0
158,2xintelxeongold6238r,0
159,2xintelxeongold6240,0
160,2xintelxeongold6240r,0
161,2xintelxeongold6248r,0
162,2xintelxeongold6252n,0
163,2xintelxeongold6254,0
164,2xintelxeongold6330,0
165,2xintelxeonl5420,0
166,2xintelxeonl5630,0
167,2xintelxeonplatinum8160,0
168,2xintelxeonplatinum8163,0
169,2xintelxeonplatinum8167m,0
170,2xintelxeonplatinum8168,0
171,2xintelxeonplatinum8175m,0
172,2xintelxeonplatinum8259cl,0
173,2xintelxeonplatinum8268,0
174,2xintelxeonplatinum8275cl,0
175,2xintelxeonplatinum8360y,0
176,2xintelxeonplatinum8380,0
177,2xintelxeonsilver4108,0
178,2xintelxeonsilver4110,0
179,2xintelxeonsilver4114,0
180,2xintelxeonsilver4214,0
181,2xintelxeonsilver4215,0
182,2xintelxeonsilver4216,0
183,2xintelxeonx5355,0
184,2xintelxeonx5550,0
185,2xintelxeonx5570,0
186,2xintelxeonx5650,0
187,2xintelxeonx5670,0
188,2xintelxeonx5675,0
189,2xintelxeonx5680,0
190,2xintelxeonx5690,0
191,4xamdopteron6272,0
192,4xamdopteron6378,0
193,4xintelxeone5-2680v3,0
194,4xintelxeone5-26xxv3,0
195,4xintelxeone5-46170,0
196,4xintelxeone5-4620v2,0
197,4xintelxeone7-4850,0
198,4xintelxeonx7350,0
199,4xintelxeonx7460,0
200,8xamdopteron63xxclass,0
201,8xintelxeone312xx,0
202,8xintelxeone5620,0
